Kod,Nazwa,ogółem
201000,Powiat bolesławiecki,"3,80"
202000,Powiat dzierżoniowski,"5,20"
203000,Powiat głogowski,"7,10"
204000,Powiat górowski,"14,20"
205000,Powiat jaworski,"10,60"
206000,Powiat jeleniogórski,"8,20"
207000,Powiat kamiennogórski,"5,80"
208000,Powiat kłodzki,"11,10"
209000,Powiat legnicki,"8,10"
210000,Powiat lubański,"6,90"
211000,Powiat lubiński,"4,10"
212000,Powiat lwówecki,"11,20"
213000,Powiat milicki,"6,40"
214000,Powiat oleśnicki,"5,20"
215000,Powiat oławski,"4,40"
216000,Powiat polkowicki,"4,40"
217000,Powiat strzeliński,"9,70"
218000,Powiat średzki,"4,80"
219000,Powiat świdnicki,"5,60"
220000,Powiat trzebnicki,"5,10"
221000,Powiat wałbrzyski,"12,80"
222000,Powiat wołowski,"10,60"
223000,Powiat wrocławski,"1,60"
224000,Powiat ząbkowicki,"9,40"
225000,Powiat zgorzelecki,"4,90"
226000,Powiat złotoryjski,"13,10"
261000,Powiat m.Jelenia Góra,"3,20"
262000,Powiat m.Legnica,"4,20"
264000,Powiat m.Wrocław,"1,60"
265000,Powiat m.Wałbrzych od 2013,"4,90"
401000,Powiat aleksandrowski,"12,20"
402000,Powiat brodnicki,"7,00"
403000,Powiat bydgoski,"4,10"
404000,Powiat chełmiński,"11,80"
405000,Powiat golubsko-dobrzyński,"10,00"
406000,Powiat grudziądzki,"10,60"
407000,Powiat inowrocławski,"11,00"
408000,Powiat lipnowski,"15,50"
409000,Powiat mogileński,"9,80"
410000,Powiat nakielski,"10,50"
411000,Powiat radziejowski,"16,60"
412000,Powiat rypiński,"9,90"
413000,Powiat sępoleński,"11,60"
414000,Powiat świecki,"7,00"
415000,Powiat toruński,"9,40"
416000,Powiat tucholski,"9,70"
417000,Powiat wąbrzeski,"11,50"
418000,Powiat włocławski,"13,90"
419000,Powiat żniński,"9,40"
461000,Powiat m.Bydgoszcz,"2,90"
462000,Powiat m.Grudziądz,"8,40"
463000,Powiat m.Toruń,"4,10"
464000,Powiat m.Włocławek,"9,30"
601000,Powiat bialski,"9,30"
602000,Powiat biłgorajski,"5,00"
603000,Powiat chełmski,"11,90"
604000,Powiat hrubieszowski,"13,30"
605000,Powiat janowski,"8,50"
606000,Powiat krasnostawski,"11,00"
607000,Powiat kraśnicki,"10,20"
608000,Powiat lubartowski,"10,30"
609000,Powiat lubelski,"5,60"
610000,Powiat łęczyński,"5,20"
611000,Powiat łukowski,"4,20"
612000,Powiat opolski,"8,20"
613000,Powiat parczewski,"6,60"
614000,Powiat puławski,"5,10"
615000,Powiat radzyński,"5,80"
616000,Powiat rycki,"7,00"
617000,Powiat świdnicki,"8,30"
618000,Powiat tomaszowski,"6,90"
619000,Powiat włodawski,"15,70"
620000,Powiat zamojski,"8,30"
661000,Powiat m.Biała Podlaska,"9,90"
662000,Powiat m.Chełm,"11,00"
663000,Powiat m.Lublin,"5,00"
664000,Powiat m.Zamość,"8,70"
801000,Powiat gorzowski,"3,50"
802000,Powiat krośnieński,"7,80"
803000,Powiat międzyrzecki,"9,40"
804000,Powiat nowosolski,"6,20"
805000,Powiat słubicki,"2,40"
806000,Powiat strzelecko-drezdenecki,"9,80"
807000,Powiat sulęciński,"5,70"
808000,Powiat świebodziński,"3,50"
809000,Powiat zielonogórski,"5,90"
810000,Powiat żagański,"8,80"
811000,Powiat żarski,"5,30"
812000,Powiat wschowski,"7,80"
861000,Powiat m.Gorzów Wielkopolski,"2,30"
862000,Powiat m.Zielona Góra,"2,40"
1001000,Powiat bełchatowski,"4,90"
1002000,Powiat kutnowski,"8,10"
1003000,Powiat łaski,"7,10"
1004000,Powiat łęczycki,"6,30"
1005000,Powiat łowicki,"4,70"
1006000,Powiat łódzki wschodni,"6,10"
1007000,Powiat opoczyński,"5,80"
1008000,Powiat pabianicki,"6,20"
1009000,Powiat pajęczański,"7,10"
1010000,Powiat piotrkowski,"4,80"
1011000,Powiat poddębicki,"6,20"
1012000,Powiat radomszczański,"5,10"
1013000,Powiat rawski,"3,10"
1014000,Powiat sieradzki,"5,40"
1015000,Powiat skierniewicki,"3,70"
1016000,Powiat tomaszowski,"6,80"
1017000,Powiat wieluński,"5,80"
1018000,Powiat wieruszowski,"4,00"
1019000,Powiat zduńskowolski,"6,10"
1020000,Powiat zgierski,"5,60"
1021000,Powiat brzeziński,"6,80"
1061000,Powiat m.Łódź,"4,80"
1062000,Powiat m.Piotrków Trybunalski,"5,10"
1063000,Powiat m.Skierniewice,"5,30"
1201000,Powiat bocheński,"2,60"
1202000,Powiat brzeski,"4,70"
1203000,Powiat chrzanowski,"6,30"
1204000,Powiat dąbrowski,"10,10"
1205000,Powiat gorlicki,"4,60"
1206000,Powiat krakowski,"3,70"
1207000,Powiat limanowski,"6,80"
1208000,Powiat miechowski,"3,80"
1209000,Powiat myślenicki,"2,40"
1210000,Powiat nowosądecki,"7,80"
1211000,Powiat nowotarski,"5,40"
1212000,Powiat olkuski,"6,90"
1213000,Powiat oświęcimski,"5,10"
1214000,Powiat proszowicki,"4,50"
1215000,Powiat suski,"4,70"
1216000,Powiat tarnowski,"5,70"
1217000,Powiat tatrzański,"7,90"
1218000,Powiat wadowicki,"4,90"
1219000,Powiat wielicki,"4,00"
1261000,Powiat m.Kraków,"2,00"
1262000,Powiat m.Nowy Sącz,"2,70"
1263000,Powiat m.Tarnów,"4,20"
1401000,Powiat białobrzeski,"7,40"
1402000,Powiat ciechanowski,"8,90"
1403000,Powiat garwoliński,"8,40"
1404000,Powiat gostyniński,"12,00"
1405000,Powiat grodziski,"2,40"
1406000,Powiat grójecki,"1,90"
1407000,Powiat kozienicki,"10,00"
1408000,Powiat legionowski,"6,50"
1409000,Powiat lipski,"9,80"
1410000,Powiat łosicki,"4,20"
1411000,Powiat makowski,"15,40"
1412000,Powiat miński,"4,80"
1413000,Powiat mławski,"5,80"
1414000,Powiat nowodworski,"5,50"
1415000,Powiat ostrołęcki,"9,00"
1416000,Powiat ostrowski,"8,00"
1417000,Powiat otwocki,"3,70"
1418000,Powiat piaseczyński,"3,20"
1419000,Powiat płocki,"10,20"
1420000,Powiat płoński,"9,20"
1421000,Powiat pruszkowski,"2,70"
1422000,Powiat przasnyski,"8,50"
1423000,Powiat przysuski,"17,60"
1424000,Powiat pułtuski,"12,00"
1425000,Powiat radomski,"16,50"
1426000,Powiat siedlecki,"4,30"
1427000,Powiat sierpecki,"15,00"
1428000,Powiat sochaczewski,"4,60"
1429000,Powiat sokołowski,"5,40"
1430000,Powiat szydłowiecki,"23,30"
1432000,Powiat warszawski zachodni,"1,60"
1433000,Powiat węgrowski,"5,60"
1434000,Powiat wołomiński,"6,40"
1435000,Powiat wyszkowski,"3,20"
1436000,Powiat zwoleński,"9,70"
1437000,Powiat żuromiński,"14,50"
1438000,Powiat żyrardowski,"9,50"
1461000,Powiat m.Ostrołęka,"8,20"
1462000,Powiat m.Płock,"6,10"
1463000,Powiat m.Radom,"11,30"
1464000,Powiat m.Siedlce,"3,90"
1465000,Powiat m. st. Warszawa,"1,30"
1601000,Powiat brzeski,"7,80"
1602000,Powiat głubczycki,"9,10"
1603000,Powiat kędzierzyńsko-kozielski,"7,50"
1604000,Powiat kluczborski,"7,20"
1605000,Powiat krapkowicki,"5,50"
1606000,Powiat namysłowski,"7,50"
1607000,Powiat nyski,"7,20"
1608000,Powiat oleski,"4,10"
1609000,Powiat opolski,"5,60"
1610000,Powiat prudnicki,"8,90"
1611000,Powiat strzelecki,"4,90"
1661000,Powiat m.Opole,"2,80"
1801000,Powiat bieszczadzki,"13,50"
1802000,Powiat brzozowski,"15,10"
1803000,Powiat dębicki,"4,40"
1804000,Powiat jarosławski,"10,00"
1805000,Powiat jasielski,"9,40"
1806000,Powiat kolbuszowski,"7,50"
1807000,Powiat krośnieński,"5,10"
1808000,Powiat leżajski,"12,40"
1809000,Powiat lubaczowski,"8,40"
1810000,Powiat łańcucki,"9,60"
1811000,Powiat mielecki,"4,30"
1812000,Powiat niżański,"15,80"
1813000,Powiat przemyski,"12,50"
1814000,Powiat przeworski,"11,70"
1815000,Powiat ropczycko-sędziszowski,"10,20"
1816000,Powiat rzeszowski,"7,70"
1817000,Powiat sanocki,"6,60"
1818000,Powiat stalowowolski,"4,70"
1819000,Powiat strzyżowski,"13,00"
1820000,Powiat tarnobrzeski,"6,30"
1821000,Powiat leski,"16,00"
1861000,Powiat m.Krosno,"2,30"
1862000,Powiat m.Przemyśl,"10,40"
1863000,Powiat m.Rzeszów,"4,80"
1864000,Powiat m.Tarnobrzeg,"7,50"
2001000,Powiat augustowski,"9,70"
2002000,Powiat białostocki,"7,60"
2003000,Powiat bielski,"4,70"
2004000,Powiat grajewski,"11,90"
2005000,Powiat hajnowski,"6,80"
2006000,Powiat kolneński,"14,00"
2007000,Powiat łomżyński,"6,00"
2008000,Powiat moniecki,"6,70"
2009000,Powiat sejneński,"12,20"
2010000,Powiat siemiatycki,"6,20"
2011000,Powiat sokólski,"10,00"
2012000,Powiat suwalski,"3,90"
2013000,Powiat wysokomazowiecki,"5,60"
2014000,Powiat zambrowski,"6,30"
2061000,Powiat m.Białystok,"5,40"
2062000,Powiat m.Łomża,"7,60"
2063000,Powiat m.Suwałki,"4,90"
2201000,Powiat bytowski,"9,10"
2202000,Powiat chojnicki,"7,60"
2203000,Powiat człuchowski,"9,40"
2204000,Powiat gdański,"3,70"
2205000,Powiat kartuski,"2,50"
2206000,Powiat kościerski,"6,20"
2207000,Powiat kwidzyński,"5,60"
2208000,Powiat lęborski,"8,70"
2209000,Powiat malborski,"10,00"
2210000,Powiat nowodworski,"12,10"
2211000,Powiat pucki,"6,80"
2212000,Powiat słupski,"6,40"
2213000,Powiat starogardzki,"5,30"
2214000,Powiat tczewski,"5,70"
2215000,Powiat wejherowski,"5,40"
2216000,Powiat sztumski,"8,40"
2261000,Powiat m.Gdańsk,"2,40"
2262000,Powiat m.Gdynia,"2,10"
2263000,Powiat m.Słupsk,"3,20"
2264000,Powiat m.Sopot,"1,40"
2401000,Powiat będziński,"5,40"
2402000,Powiat bielski,"2,90"
2403000,Powiat cieszyński,"4,40"
2404000,Powiat częstochowski,"6,20"
2405000,Powiat gliwicki,"3,50"
2406000,Powiat kłobucki,"6,30"
2407000,Powiat lubliniecki,"5,10"
2408000,Powiat mikołowski,"2,80"
2409000,Powiat myszkowski,"5,50"
2410000,Powiat pszczyński,"2,70"
2411000,Powiat raciborski,"4,00"
2412000,Powiat rybnicki,"4,80"
2413000,Powiat tarnogórski,"4,60"
2414000,Powiat bieruńsko-lędziński,"1,70"
2415000,Powiat wodzisławski,"5,00"
2416000,Powiat zawierciański,"5,80"
2417000,Powiat żywiecki,"6,20"
2461000,Powiat m.Bielsko-Biała,"1,70"
2462000,Powiat m.Bytom,"8,40"
2463000,Powiat m.Chorzów,"3,30"
2464000,Powiat m.Częstochowa,"2,90"
2465000,Powiat m.Dąbrowa Górnicza,"3,80"
2466000,Powiat m.Gliwice,"2,30"
2467000,Powiat m.Jastrzębie-Zdrój,"4,30"
2468000,Powiat m.Jaworzno,"3,90"
2469000,Powiat m.Katowice,"1,00"
2470000,Powiat m.Mysłowice,"4,80"
2471000,Powiat m.Piekary Śląskie,"6,00"
2472000,Powiat m.Ruda Śląska,"2,70"
2473000,Powiat m.Rybnik,"2,90"
2474000,Powiat m.Siemianowice Śląskie,"4,00"
2475000,Powiat m.Sosnowiec,"5,10"
2476000,Powiat m.Świętochłowice,"5,60"
2477000,Powiat m.Tychy,"2,00"
2478000,Powiat m.Zabrze,"4,90"
2479000,Powiat m.Żory,"3,20"
2601000,Powiat buski,"3,70"
2602000,Powiat jędrzejowski,"6,90"
2603000,Powiat kazimierski,"6,70"
